"Arquivo","Critico","CaminhoCompleto","TamanhoKB","UltimaModificacao"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\@opentelemetry\api\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\@vercel\nft\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\@vercel\og\package.json","0,33","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\acorn\package.json","0,05","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\amphtml-validator\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\anser\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\arg\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\assert\package.json","0,05","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\async-retry\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\async-sema\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\babel\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\babel-packages\package.json","0,05","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\browserify-zlib\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\browserslist\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\buffer\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\bytes\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\ci-info\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\cli-select\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\client-only\package.json","0,46","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\commander\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\comment-json\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\compression\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\conf\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\constants-browserify\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\content-disposition\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\content-type\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\cookie\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\cross-spawn\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\crypto-browserify\package.json","0,13","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\css.escape\package.json","0,13","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\data-uri-to-buffer\package.json","0,13","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\debug\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\devalue\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\domain-browser\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\edge-runtime\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\events\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\find-cache-dir\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\find-up\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\fresh\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\get-orientation\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\glob\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\gzip-size\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\http-proxy\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\http-proxy-agent\package.json","0,13","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\https-browserify\package.json","0,15","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\https-proxy-agent\package.json","0,13","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\icss-utils\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\ignore-loader\package.json","0,04","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\image-size\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\is-animated\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\is-docker\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\is-wsl\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\jest-worker\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\json5\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\jsonwebtoken\package.json","0,07","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\loader-runner\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\loader-utils2\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\loader-utils3\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\lodash.curry\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\lru-cache\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\mini-css-extract-plugin\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\nanoid\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\native-url\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\neo-async\package.json","0,05","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\node-fetch\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\node-html-parser\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\ora\package.json","0,15","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\os-browserify\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\p-limit\package.json","0,15","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\path-browserify\package.json","0,15","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\picomatch\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\platform\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-flexbugs-fixes\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-modules-extract-imports\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-modules-local-by-default\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-modules-scope\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-modules-values\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-preset-env\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-safe-parser\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-scss\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\postcss-value-parser\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\process\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\punycode\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\querystring-es3\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\raw-body\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react\package.json","0,42","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-dom\package.json","1,62","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-dom-experimental\package.json","1,69","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-experimental\package.json","0,43","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-is\package.json","0,49","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-refresh\package.json","0,86","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-server-dom-turbopack\package.json","1,68","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-server-dom-turbopack-experimental\package.json","1,71","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-server-dom-webpack\package.json","1,65","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\react-server-dom-webpack-experimental\package.json","1,68","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\regenerator-runtime\package.json","0,47","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\sass-loader\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\scheduler\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\scheduler-experimental\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\schema-utils2\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\schema-utils3\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\semver\package.json","0,05","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\send\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\server-only\package.json","0,46","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\setimmediate\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\shell-quote\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\source-map\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\source-map08\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\stacktrace-parser\package.json","0,15","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\stream-browserify\package.json","0,15","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\stream-http\package.json","0,08","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\string-hash\package.json","0,13","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\string_decoder\package.json","0,07","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\strip-ansi\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\superstruct\package.json","0,06","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\tar\package.json","0,07","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\terser\package.json","0,13","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\text-table\package.json","0,14","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\timers-browserify\package.json","0,13","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\tty-browserify\package.json","0,15","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\ua-parser-js\package.json","0,12","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\unistore\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\util\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\vm-browserify\package.json","0,15","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\watchpack\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\web-vitals\package.json","0,16","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\web-vitals-attribution\package.json","0,18","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\webpack\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\webpack-sources1\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\webpack-sources3\package.json","0,09","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\ws\package.json","0,11","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\compiled\zod\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\dist\src\compiled\@ampproject\toolbox-optimizer\package.json","0,1","28/05/2026 23:25:58"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\next\node_modules\postcss\package.json","2,44","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\node-releases\package.json","0,5","29/05/2026 00:04:27"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\normalize-path\package.json","1,63","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\object-assign\package.json","0,75","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\object-hash\package.json","1,24","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\papaparse\package.json","1,38","23/07/2026 10:56:41"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\path-parse\package.json","0,65","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\picocolors\package.json","0,54","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\picomatch\package.json","1,85","21/06/2026 21:13:23"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\pify\package.json","0,87","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\pirates\package.json","0,82","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\postcss\package.json","2,44","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\postcss-import\package.json","1,25","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\postcss-js\package.json","0,99","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\postcss-load-config\package.json","1,12","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\postcss-nested\package.json","0,68","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\postcss-selector-parser\package.json","2","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\postcss-value-parser\package.json","1,27","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\queue-microtask\package.json","1,15","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\react\package.json","0,98","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\react-dom\package.json","1,32","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\read-cache\package.json","0,7","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\readdirp\package.json","2,46","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\readdirp\node_modules\picomatch\package.json","1,87","21/06/2026 21:13:23"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\package.json","2,07","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\module_dir\zmodules\bbb\package.json","0,02","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\baz\package.json","0,04","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\browser_field\package.json","0,06","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\dot_main\package.json","0,02","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\dot_slash_main\package.json","0,02","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\false_main\package.json","0,04","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\incorrect_main\package.json","0,03","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\invalid_main\package.json","0,09","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\multirepo\package.json","0,38","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\multirepo\packages\package-a\package.json","0,27","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\multirepo\packages\package-b\package.json","0,27","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\nested_symlinks\mylib\package.json","0,25","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\resolve\test\resolver\symlinked\package\package.json","0,02","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\reusify\package.json","1,05","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\run-parallel\package.json","1,26","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\scheduler\package.json","0,68","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\source-map-js\package.json","2,49","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\streamsearch\package.json","0,82","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\styled-jsx\package.json","3,07","28/05/2026 23:25:46"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\sucrase\package.json","3,23","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\supports-preserve-symlinks-flag\package.json","1,85","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\tailwindcss\package.json","3,45","28/05/2026 23:25:48"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\thenify\package.json","0,73","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\thenify-all\package.json","0,77","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\tinyglobby\package.json","1,78","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\to-regex-range\package.json","1,74","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\ts-interface-checker\package.json","1,29","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\tslib\package.json","1,19","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\tslib\modules\package.json","0,03","28/05/2026 23:25:45"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\tsx\package.json","1,56","23/07/2026 10:56:41"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\typescript\package.json","3,54","28/05/2026 23:25:47"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\undici-types\package.json","1,17","28/05/2026 23:25:43"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\update-browserslist-db\package.json","0,89","29/05/2026 00:04:27"
"package.json","","C:\Projetos\portal-cidadania-os\node_modules\util-deprecate\package.json","0,68","28/05/2026 23:25:43"
".env.local","","C:\Projetos\portal-cidadania-os\.env.local","1,42","24/07/2026 16:04:21"
".env.production","","C:\Projetos\portal-cidadania-os\.env.production","1,08","19/07/2026 16:24:07"
